"","deploymentID","cluster_id","round","week","habitat","cluster","treatment","date.x","sequenceID","commonName","Snow.cover","Interaction_with_lure","interaction","delta_date","n","diff","diff_days","cam_effort","mammal","event","X","deploy_date","date.y","tot_time","down_time","Camouflage.mismatch","cxh"
"90","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-04-25","94c67c77d20857ca32210764c32a5a07","Domestic Cat",0,"False",0,5,1,4,4,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"91","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-04-25","ac3ada31453ed4b7a8d23bc64638f767","Domestic Cat",0,"False",0,5,1,0,0,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"92","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-04-29","6ae13951035c4e68032bc5bf75092bfc","Domestic Cat",0,"False",0,9,1,4,4,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"93","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-04-29","9e3d497671464db763273102cf901ac9","Domestic Cat",0,"False",0,9,1,0,0,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"94","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-04-30","86e457b781ecfb85109f21cfdb1000e9","Domestic Cat",0,"False",0,10,1,1,1,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"95","R4-W16CC2B","R4-W16CC2","R4","W16","C","C2","B","2022-05-02","be5ffad86b76a16caa9199dd1bcddfe1","Domestic Cat",0,"False",0,12,1,2,2,13,1,1,58,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"96","R4-W16CC2W","R4-W16CC2","R4","W16","C","C2","W","2022-05-03","62829f1cfaa26fa4937f4a72f95c7dd5","Human",NA,"False",0,13,0,NA,13,13,0,1,60,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"97","R4-W16CC3B","R4-W16CC3","R4","W16","C","C3","B","2022-04-23","82ee2bfed082df8279eb9aa29fe0c582","Red Fox",0,"False",0,3,1,NA,3,13,1,1,61,"2022-04-20","2022-05-03",13,0,"Match","Match C"
"98","R4-W16CC3W","R4-W16CC3","R4","W16","C","C3","W","2022-05-03","5e32cfbf244ecd0241a0d01572b1d383","Human",NA,"False",0,13,0,NA,13,13,0,1,63,"2022-04-20","2022-05-03",13,0,"Mismatch","Mismatch C"
"99","R4-W16OC1B","R4-W16OC1","R4","W16","O","C1","B","2022-04-28","6f63a86afddeea9598d7f184712ab5bf","Short-eared Owl",0,"False",0,9,1,NA,9,5,0,1,64,"2022-04-19","2022-05-02",13,8,"Match","Match O"
"100","R4-W16OC1B","R4-W16OC1","R4","W16","O","C1","B","2022-04-28","94f8e1ff777bdae4c5e08b8147fe379c","Hooded Crow",0,"False",0,9,3,0,0,5,0,1,64,"2022-04-19","2022-05-02",13,8,"Match","Match O"
"101","R4-W16OC1B","R4-W16OC1","R4","W16","O","C1","B","2022-04-29","880dad58ee5322bf9469fddf7778ca6d","Hooded Crow",0,"False",0,10,1,1,1,5,0,1,64,"2022-04-19","2022-05-02",13,8,"Match","Match O"
"102","R4-W16OC1B","R4-W16OC1","R4","W16","O","C1","B","2022-04-30","00e0ec4e48543ff43f4e6666795d93f6","Hooded Crow",0,"False",0,11,1,1,1,5,0,1,64,"2022-04-19","2022-05-02",13,8,"Match","Match O"
"103","R4-W16OC1B","R4-W16OC1","R4","W16","O","C1","B","2022-04-30","f34cf534e0875ad4087bd07be08ef65d","Hooded Crow",0,"False",0,11,2,0,0,5,0,1,64,"2022-04-19","2022-05-02",13,8,"Match","Match O"
"104","R4-W16OC1B","R4-W16OC1","R4","W16","O","C1","B","2022-05-01","02eafb0788108de5d1457329dddf7353","Hooded Crow",0,"False",0,12,2,1,1,5,0,1,64,"2022-04-19","2022-05-02",13,8,"Match","Match O"
"105","R4-W16OC1W","R4-W16OC1","R4","W16","O","C1","W","2022-04-19","0187af4f4e3c7c685d3ce7c3a4e7ddc7","Hooded Crow",80,"False",0,0,1,NA,0,3,0,1,66,"2022-04-19","2022-05-02",13,10,"Mismatch","Mismatch O"
"106","R4-W16OC1W","R4-W16OC1","R4","W16","O","C1","W","2022-04-19","96e33775f56670b44dc8fdd036d1bc77","Hooded Crow",80,"False",0,0,1,0,0,3,0,1,66,"2022-04-19","2022-05-02",13,10,"Mismatch","Mismatch O"
